1.0C_Dch_Tmax,1.0C_Dch_Capacity,1.0C_Dch_duration,2.0C_Dch_Tmax,2.0C_Dch_Capacity,2.0C_Dch_duration,standard_dch_cycle_capacity,DCIR_1s,DCIR_SOC_1s,DCIR_2s,DCIR_SOC_2s,DCIR_4s,DCIR_SOC_4s,pulse_relaxation_timeseries,pOCV_timeseries
,,,,,,,,,,,,,,4.142
,,,,,,,,,,,,,,4.142
,,,,,,,,,,,,,,4.142
,,,,,,,,,,,,,,4.1418
,,,,,,,,,,,,,,4.1418
,,,,,,,,,,,,,,4.1416
,,,,,,,,,,,,,,4.1416
,,,,,,,,,,,,,,4.1414
,,,,,,,,,,,,,,4.1418
,,,,,,,,,,,,,,4.1418
,,,,,,,,,,,,,,4.1416
,,,,,,,,,,,,,,4.1414
,,,,,,,,,,,,,,4.1414
,,,,,,,,,,,,,,4.1414
,,,,,,,,,,,,,,4.1414
,,,,,,,,,,,,,,4.1414
,,,,,,,,,,,,,,4.1416
,,,,,,,,,,,,,,4.1412
,,,,,,,,,,,,,,4.1412
,,,,,,,,,,,,,,4.141
,,,,,,,,,,,,,,4.141
,,,,,,,,,,,,,,4.141
,,,,,,,,,,,,,,4.141
,,,,,,,,,,,,,,4.1408
,,,,,,,,,,,,,,4.1408
,,,,,,,,,,,,,,4.1408
,,,,,,,,,,,,,,4.1406
,,,,,,,,,,,,,,4.1404
,,,,,,,,,,,,,,4.1408
,,,,,,,,,,,,,,4.1406
,,,,,,,,,,,,,,4.1404
,,,,,,,,,,,,,,4.1404
,,,,,,,,,,,,,,4.1406
,,,,,,,,,,,,,,4.1404
,,,,,,,,,,,,,,4.1402
,,,,,,,,,,,,,,4.1404
,,,,,,,,,,,,,,4.1404
,,,,,,,,,,,,,,4.1402
,,,,,,,,,,,,,,4.14
,,,,,,,,,,,,,,4.1402
,,,,,,,,,,,,,,4.1402
,,,,,,,,,,,,,,4.1402
,,,,,,,,,,,,,,4.14
,,,,,,,,,,,,,,4.14
,,,,,,,,,,,,,,4.1396
,,,,,,,,,,,,,,4.1396
,,,,,,,,,,,,,,4.14
,,,,,,,,,,,,,,4.1398
,,,,,,,,,,,,,,4.1396
,,,,,,,,,,,,,,4.1396
,,,,,,,,,,,,,,4.1398
,,,,,,,,,,,,,,4.1396
,,,,,,,,,,,,,,4.1394
,,,,,,,,,,,,,,4.1396
,,,,,,,,,,,,,,4.1396
,,,,,,,,,,,,,,4.1394
,,,,,,,,,,,,,,4.1394
,,,,,,,,,,,,,,4.1392
,,,,,,,,,,,,,,4.1394
,,,,,,,,,,,,,,4.139
,,,,,,,,,,,,,,4.1394
,,,,,,,,,,,,,,4.1392
,,,,,,,,,,,,,,4.1394
,,,,,,,,,,,,,,4.1392
,,,,,,,,,,,,,,4.139
,,,,,,,,,,,,,,4.139
,,,,,,,,,,,,,,4.1388
,,,,,,,,,,,,,,4.1388
,,,,,,,,,,,,,,4.1388
,,,,,,,,,,,,,,4.1388
,,,,,,,,,,,,,,4.139
,,,,,,,,,,,,,,4.139
,,,,,,,,,,,,,,4.1388
,,,,,,,,,,,,,,4.1384
,,,,,,,,,,,,,,4.1386
,,,,,,,,,,,,,,4.1384
,,,,,,,,,,,,,,4.1386
,,,,,,,,,,,,,,4.1382
,,,,,,,,,,,,,,4.1382
,,,,,,,,,,,,,,4.1384
,,,,,,,,,,,,,,4.1382
,,,,,,,,,,,,,,4.138
,,,,,,,,,,,,,,4.138
,,,,,,,,,,,,,,4.1378
,,,,,,,,,,,,,,4.1382
,,,,,,,,,,,,,,4.1378
,,,,,,,,,,,,,,4.138
,,,,,,,,,,,,,,4.1378
,,,,,,,,,,,,,,4.1378
,,,,,,,,,,,,,,4.1378
,,,,,,,,,,,,,,4.1378
,,,,,,,,,,,,,,4.1378
,,,,,,,,,,,,,,4.1378
,,,,,,,,,,,,,,4.1378
,,,,,,,,,,,,,,4.1378
,,,,,,,,,,,,,,4.1376
,,,,,,,,,,,,,,4.1376
,,,,,,,,,,,,,,4.1374
,,,,,,,,,,,,,,4.1374
,,,,,,,,,,,,,,4.1374
,,,,,,,,,,,,,,4.1374
,,,,,,,,,,,,,,4.1372
,,,,,,,,,,,,,,4.137
,,,,,,,,,,,,,,4.1372
,,,,,,,,,,,,,,4.1374
,,,,,,,,,,,,,,4.1372
,,,,,,,,,,,,,,4.1372
,,,,,,,,,,,,,,4.137
,,,,,,,,,,,,,,4.137
,,,,,,,,,,,,,,4.1368
,,,,,,,,,,,,,,4.1368
,,,,,,,,,,,,,,4.1368
,,,,,,,,,,,,,,4.1368
,,,,,,,,,,,,,,4.1366
,,,,,,,,,,,,,,4.1368
,,,,,,,,,,,,,,4.1368
,,,,,,,,,,,,,,4.1366
